"","age","emptype","fnlwgt","educ","marital","attached","occupation","sex","capitalgain","capitalloss","hrperweek","income"
"48",1,2,101509,2,2,1,"Profspecialty",1,1,1,1,1
"49",2,2,162298,3,1,1,"Sales",1,1,1,4,2
"50",1,2,211678,2,2,1,"Machineopinspct",1,1,1,2,1
"51",3,2,32214,3,1,1,"Admclerical",1,1,1,2,1
"52",2,1,125927,1,1,1,"Farmingfishing",1,1,1,2,1
"53",1,2,446839,2,2,1,"Sales",1,1,1,1,1
"54",4,2,159937,2,1,1,"Sales",1,1,1,3,1
"55",3,2,343591,2,2,1,"Craftrepair",2,5,1,2,2
"56",4,2,346253,2,2,1,"Sales",2,1,1,1,1
"57",4,1,268234,2,1,1,"Protectiveserv",1,1,1,2,2
"58",2,2,202051,4,1,1,"Profspecialty",1,1,1,3,1
"59",2,2,54334,1,2,1,"Sales",1,1,1,2,1
"60",3,1,410867,4,2,1,"Profspecialty",2,1,1,3,2
"61",4,2,249977,3,1,1,"Profspecialty",1,1,1,2,1
"62",2,2,286730,2,2,1,"Craftrepair",2,1,1,2,1
"63",2,1,226296,3,1,1,"Protectiveserv",1,1,1,2,2
"64",2,1,115585,2,2,1,"Handlerscleaners",1,1,1,3,1
"65",4,2,191277,4,1,1,"Profspecialty",1,1,4,4,2
"66",2,2,202683,2,1,1,"Sales",1,1,1,3,2
"67",4,2,124191,4,1,1,"Execmanagerial",1,1,1,2,2
"68",3,2,198282,3,1,1,"Execmanagerial",1,5,1,4,2
"69",3,2,149116,4,2,1,"Profspecialty",2,1,1,3,1
"70",1,2,188300,2,2,1,"Techsupport",2,1,1,2,1
"71",2,2,103432,2,2,1,"Craftrepair",1,1,1,2,1
"72",2,2,317660,2,1,1,"Craftrepair",1,4,1,2,2
"73",2,2,194901,1,2,1,"Handlerscleaners",1,1,1,2,1
"74",2,1,189265,2,2,1,"Admclerical",2,1,1,2,1
"75",3,2,124692,2,1,1,"Handlerscleaners",1,1,1,2,1
"76",3,2,65324,4,1,1,"Profspecialty",1,1,1,2,2
"77",1,2,377869,2,1,1,"Sales",2,3,1,1,1
"78",2,2,102864,2,2,1,"Machineopinspct",2,1,1,2,1
"79",4,2,95647,1,1,1,"Handlerscleaners",1,1,1,3,1
"80",4,2,303090,2,1,1,"Sales",1,1,1,3,1
"81",4,2,247552,2,1,1,"Sales",1,1,1,3,1
"82",1,2,102632,2,2,1,"Craftrepair",1,1,1,2,1
"83",3,2,118853,3,1,1,"Execmanagerial",1,1,1,4,1
"84",2,1,267989,3,1,1,"Profspecialty",1,1,1,3,2
"85",3,2,287828,3,1,1,"Execmanagerial",2,1,1,2,2
"86",1,2,111697,2,2,1,"Admclerical",2,1,3,1,1
"87",2,2,114937,3,1,1,"Admclerical",1,1,1,2,2
"88",3,2,365739,2,2,1,"Craftrepair",1,1,1,2,1
"89",1,2,69621,3,2,1,"Sales",2,1,1,4,1
"90",3,2,120985,2,1,1,"Craftrepair",1,3,1,1,1
"91",2,2,254202,3,1,1,"Sales",1,1,1,3,1
"92",3,2,56920,2,1,1,"Craftrepair",1,1,1,4,1
"93",1,2,163127,3,1,1,"Admclerical",2,1,1,1,1
"94",1,2,34310,2,2,1,"Sales",1,1,1,1,1
"95",4,2,66614,2,1,1,"Craftrepair",1,1,1,2,1
"96",1,2,232782,2,2,1,"Sales",2,1,1,2,1
"97",3,2,196584,3,2,1,"Profspecialty",2,1,2,2,2
"98",4,2,181232,1,1,1,"Craftrepair",1,1,5,2,1
"99",2,2,198183,2,2,1,"Admclerical",2,1,1,2,1
"100",1,2,296158,2,2,1,"Craftrepair",1,1,1,1,1
"101",4,2,187715,2,1,1,"Craftrepair",1,1,1,3,1
"102",1,2,214542,3,2,1,"Handlerscleaners",1,1,1,2,1
"103",2,2,191535,2,2,1,"Craftrepair",1,1,1,4,1
"104",3,2,201080,4,1,1,"Sales",1,1,1,2,2
"105",3,1,235485,3,2,1,"Execmanagerial",1,1,1,2,1
"106",3,1,102628,4,2,1,"Protectiveserv",1,1,1,2,1
"107",1,2,25828,1,2,1,"Handlerscleaners",1,1,1,1,1
"108",4,1,54826,3,2,1,"Profspecialty",2,1,1,1,1
"109",1,1,175325,2,1,1,"Protectiveserv",1,1,1,2,1
"110",4,2,96062,2,1,1,"Sales",1,1,4,2,2
"111",1,2,428030,3,2,1,"Craftrepair",1,1,1,3,1
"112",1,1,149624,3,1,1,"Profspecialty",1,1,1,2,2
"113",1,2,253814,2,1,2,"Sales",2,1,1,1,1
"114",2,2,37274,3,1,1,"Profspecialty",1,1,1,4,1
"115",3,2,114580,2,2,1,"Admclerical",2,1,1,2,1
"116",2,1,29054,2,1,1,"Admclerical",1,1,1,2,2
"117",3,2,143129,3,2,1,"Execmanagerial",2,1,1,2,1
"118",2,2,99928,4,1,1,"Profspecialty",2,1,1,3,1
"119",4,1,109567,4,1,1,"Profspecialty",1,1,1,1,2
"120",1,2,159567,2,1,1,"Machineopinspct",1,1,1,2,1
"121",3,2,120939,2,1,1,"Techsupport",1,1,1,3,1
"122",3,1,130760,3,1,1,"Techsupport",1,1,1,1,1
"123",2,2,99374,2,2,1,"Craftrepair",1,1,1,2,1
"124",3,1,56795,4,2,1,"Execmanagerial",2,4,1,3,2
"125",1,2,32921,2,2,1,"Sales",1,1,1,2,1
"126",1,2,397317,4,2,1,"Profspecialty",2,1,3,2,1
"127",4,2,259323,3,1,1,"Execmanagerial",1,1,1,3,2
"128",3,1,254817,2,2,1,"Profspecialty",2,1,2,2,1
"129",2,1,48211,2,2,1,"Admclerical",2,1,1,1,1
"130",1,2,140164,1,2,1,"Sales",2,1,1,2,1
"131",2,2,36270,2,2,1,"Craftrepair",1,1,1,4,1
"132",4,2,210563,2,1,1,"Sales",2,5,1,1,2
"133",1,2,65368,1,2,1,"Sales",2,1,1,1,1
"134",2,2,208358,2,1,1,"Craftrepair",1,1,1,2,2
"135",4,2,125417,1,1,1,"Machineopinspct",1,1,1,2,2
"136",4,2,313321,3,2,1,"Sales",2,1,1,2,1
"137",3,2,109434,3,1,1,"Profspecialty",1,1,1,3,1
"138",1,2,255004,1,2,1,"Craftrepair",1,1,1,2,1
"139",2,2,197860,2,1,1,"Handlerscleaners",1,1,1,2,1
"140",4,1,140359,1,2,1,"Machineopinspct",2,1,1,1,1
"141",1,2,243313,2,2,1,"Sales",2,1,1,2,1
"142",4,2,167687,2,1,1,"Farmingfishing",1,2,1,3,1
"143",4,2,176796,2,2,1,"Admclerical",2,1,1,2,1
"144",1,2,159732,2,2,1,"Admclerical",1,1,1,2,1
"145",1,2,76714,4,2,1,"Profspecialty",1,1,1,3,2
"146",3,1,170525,2,2,1,"Admclerical",2,1,1,1,1
"147",3,1,115076,4,1,1,"Execmanagerial",1,1,1,4,2
"148",1,2,115458,2,2,1,"Transportmoving",1,1,1,2,1
"149",3,2,347890,3,1,1,"Profspecialty",1,1,1,2,2
"150",1,1,273905,3,1,1,"Protectiveserv",1,1,1,3,1
"151",3,2,179488,2,2,1,"Craftrepair",1,1,3,2,1
"152",4,2,236596,2,1,1,"Admclerical",1,1,1,3,2
"153",3,2,207578,3,1,1,"Techsupport",1,1,4,4,2
"154",3,2,112763,4,1,1,"Profspecialty",2,1,1,2,2
"155",1,1,27382,2,2,1,"Admclerical",1,1,1,2,1
"156",4,2,259014,2,2,1,"Transportmoving",1,1,1,1,1
"157",3,2,187666,3,2,1,"Execmanagerial",2,1,1,3,1
"158",4,2,204518,1,2,1,"Craftrepair",1,1,1,2,1
"159",2,2,150042,3,2,1,"Profspecialty",2,1,1,2,1
"160",3,2,98092,2,1,1,"Sales",1,1,1,4,1
"161",4,2,146013,2,1,1,"Sales",1,3,1,2,1
"162",1,2,378322,1,1,1,"Craftrepair",1,1,1,2,1
"163",4,2,21174,2,1,1,"Execmanagerial",1,1,1,2,2
"164",2,2,185480,3,2,1,"Profspecialty",2,1,1,3,1
"165",2,2,222205,2,1,1,"Craftrepair",2,1,1,2,2
"166",4,2,69867,2,1,1,"Execmanagerial",1,1,1,2,2
"167",4,2,30653,4,1,1,"Farmingfishing",1,2,1,5,1
"168",1,1,209109,4,2,1,"Profspecialty",1,1,1,1,1
"169",2,2,70377,2,2,1,"Profspecialty",2,1,1,2,1
"170",3,2,170924,2,1,1,"Craftrepair",1,3,1,2,2
"171",2,2,190174,2,2,1,"Execmanagerial",2,1,1,2,1
"172",1,2,193787,2,2,1,"Techsupport",2,1,1,2,1
"173",1,2,279472,2,1,1,"Machineopinspct",2,3,1,3,2
"174",3,1,97688,2,1,1,"Craftrepair",1,3,1,2,2
"175",4,2,173960,3,2,1,"Profspecialty",2,1,1,2,1
"176",1,2,205759,2,2,1,"Handlerscleaners",1,1,1,2,1
"177",4,1,425161,4,1,1,"Sales",1,5,1,2,2
"178",3,2,220531,4,1,1,"Profspecialty",1,1,1,4,2
"179",1,2,371987,3,2,1,"Execmanagerial",2,1,1,2,1
"180",2,2,200352,3,1,1,"Profspecialty",1,1,1,3,1
"181",2,2,127595,2,2,1,"Profspecialty",2,1,1,2,1
"182",2,1,220419,3,2,1,"Protectiveserv",1,1,1,3,1
"183",1,2,231931,2,2,1,"Sales",1,1,1,3,1
"184",4,2,111095,2,1,1,"Transportmoving",1,1,1,1,1
"185",2,2,57424,3,2,1,"Sales",2,1,1,4,1
"186",1,2,278130,2,2,1,"Craftrepair",1,1,1,2,1
"187",3,2,169469,2,2,1,"Sales",1,1,1,5,1
"188",4,2,146268,3,1,1,"Admclerical",1,4,1,2,2
"189",2,2,217460,2,1,1,"Transportmoving",1,1,1,3,2
"190",4,2,238638,2,1,1,"Sales",1,3,1,2,2
"191",3,2,173321,2,2,1,"Admclerical",2,1,1,2,1
"192",1,2,193945,3,2,1,"Techsupport",1,1,1,3,1
"193",3,2,83082,3,2,1,"Profspecialty",2,1,1,1,1
"194",2,2,193815,3,1,1,"Admclerical",1,1,1,2,2
"195",3,2,34987,2,1,1,"Farmingfishing",1,1,1,3,2
"196",1,2,59306,3,2,1,"Sales",1,1,1,2,1
"197",1,2,199698,2,2,1,"Sales",1,1,1,1,1
"198",1,2,191954,2,2,1,"Machineopinspct",1,1,1,2,1
"199",4,2,138714,2,1,1,"Sales",1,1,1,2,1
"200",2,2,423158,2,2,1,"Techsupport",2,1,1,2,1
"201",3,2,174308,2,1,1,"Execmanagerial",1,1,1,2,1
"202",3,2,50356,2,1,1,"Craftrepair",1,1,2,3,1
"203",2,2,186110,2,2,1,"Transportmoving",1,1,1,3,1
"204",2,2,200381,1,2,1,"Execmanagerial",2,1,1,2,1
"205",4,2,174309,4,1,1,"Craftrepair",1,1,1,1,1
"206",4,2,78383,2,1,1,"Farmingfishing",1,1,1,3,1
"207",3,2,187728,2,1,1,"Profspecialty",2,1,3,3,2
"208",4,2,321171,2,1,1,"Handlerscleaners",1,1,1,2,1
"209",4,2,127921,2,2,1,"Transportmoving",1,2,1,3,1
"210",1,2,224563,3,2,1,"Admclerical",1,1,1,2,1
"211",4,1,98545,1,1,1,"Admclerical",1,1,1,2,1
"212",4,2,242606,2,1,1,"Transportmoving",1,1,1,2,1
"213",4,2,71195,4,2,1,"Profspecialty",1,1,1,4,1
"214",1,2,94936,3,2,1,"Sales",1,1,1,2,1
"215",3,2,296478,3,1,1,"Craftrepair",1,3,1,2,2
"216",2,1,119272,2,1,1,"Protectiveserv",1,3,1,2,2
"217",2,2,85043,2,2,1,"Farmingfishing",1,1,1,1,1
"218",3,2,241895,3,2,1,"Sales",1,1,1,2,1
"219",2,2,156464,3,2,1,"Profspecialty",1,1,1,1,1
"220",2,2,117963,3,1,1,"Execmanagerial",1,1,1,2,2
"221",2,2,111363,3,1,1,"Execmanagerial",1,1,1,2,2
"222",3,1,329752,1,1,1,"Transportmoving",1,1,1,1,1
"223",3,1,95432,2,1,1,"Admclerical",1,1,1,2,2
"224",3,2,96129,3,1,1,"Techsupport",1,1,1,2,2
"225",3,2,111949,2,1,1,"Admclerical",2,1,1,1,1
"226",4,2,270092,4,1,1,"Profspecialty",1,1,1,2,2
"227",3,2,180609,3,1,1,"Transportmoving",1,1,1,3,1
"228",3,2,174575,3,2,1,"Execmanagerial",1,1,2,3,2
"229",1,2,410439,2,1,2,"Sales",1,1,1,3,1
"230",1,2,92262,2,1,1,"Craftrepair",1,1,1,2,1
"231",4,2,183081,2,1,1,"Sales",1,1,1,3,1
"232",1,2,362589,3,2,1,"Sales",2,1,1,1,1
"233",4,2,212448,3,2,1,"Execmanagerial",2,1,1,3,2
"234",3,2,481060,2,2,1,"Sales",2,1,1,2,1
"235",1,1,185885,2,2,1,"Admclerical",2,1,1,1,1
"236",3,1,184018,3,1,1,"Machineopinspct",1,1,1,1,2
"237",1,1,350845,2,2,1,"Admclerical",2,1,1,1,1
"238",2,2,267404,2,1,1,"Craftrepair",2,1,1,2,1
"239",1,2,35633,2,2,1,"Sales",1,1,1,2,1
"240",3,2,80914,4,2,1,"Execmanagerial",1,1,1,1,1
"241",3,2,172927,2,1,1,"Sales",1,1,1,3,1
"242",4,2,174319,2,2,1,"Transportmoving",1,1,1,2,1
"243",3,2,214955,1,2,1,"Craftrepair",2,1,5,3,1
"244",1,2,344991,2,1,1,"Craftrepair",1,1,1,2,1
"245",3,2,108699,2,2,1,"Sales",2,1,1,2,1
"246",2,1,117312,2,1,1,"Transportmoving",2,1,1,2,1
"247",2,2,134152,2,2,1,"Machineopinspct",1,1,1,2,1
"248",3,2,162028,2,1,1,"Admclerical",2,1,5,1,2
"249",1,2,25429,2,2,1,"Admclerical",2,1,1,1,1
"250",1,2,301302,3,2,1,"Craftrepair",1,1,1,3,1
"251",3,2,277946,3,2,1,"Craftrepair",1,1,1,2,1
"252",3,2,115562,2,1,1,"Techsupport",1,1,1,2,1
"253",3,2,96975,2,2,1,"Handlerscleaners",2,1,1,2,1
"254",1,2,86872,3,1,1,"Execmanagerial",1,1,1,3,2
"255",4,2,132178,3,1,1,"Execmanagerial",1,1,1,3,2
"256",1,2,416103,2,2,1,"Handlerscleaners",1,1,1,2,1
"257",4,1,288353,3,1,1,"Protectiveserv",1,1,1,2,2
"258",2,2,227689,3,2,1,"Techsupport",2,1,1,4,1
"259",3,2,445382,4,1,1,"Execmanagerial",1,1,4,4,2
"260",1,2,110145,2,1,1,"Admclerical",1,1,1,2,1
"261",3,2,317253,2,1,1,"Craftrepair",1,1,1,1,1
"262",2,2,364657,2,1,1,"Execmanagerial",1,1,1,3,1
"263",2,2,118500,2,2,1,"Execmanagerial",2,1,1,2,1
"264",3,2,188386,4,1,1,"Execmanagerial",1,5,1,4,2
"265",2,1,1033222,2,1,1,"Machineopinspct",1,1,1,2,1
"266",2,2,92440,1,2,1,"Craftrepair",1,1,1,3,2
"267",2,1,240283,2,2,1,"Transportmoving",2,1,1,2,1
"268",1,2,61777,2,1,1,"Sales",1,1,1,1,1
"269",1,2,175024,1,2,1,"Handlerscleaners",1,2,1,1,1
"270",2,1,92003,3,1,1,"Execmanagerial",2,1,1,2,2
"271",2,2,188401,2,2,1,"Farmingfishing",1,1,1,2,1
"272",2,2,228528,1,2,1,"Craftrepair",2,1,1,1,1
"273",1,2,133373,2,1,1,"Transportmoving",1,1,1,4,1
"274",2,1,255191,4,2,1,"Profspecialty",1,1,2,2,1
"275",4,2,222289,2,1,1,"Execmanagerial",1,1,1,2,2
"276",3,1,287480,4,1,1,"Profspecialty",1,1,1,2,1
"277",3,2,204116,3,1,2,"Profspecialty",2,2,1,2,1
"278",2,2,208405,4,1,1,"Profspecialty",1,1,1,3,2
"279",2,1,117018,2,2,1,"Protectiveserv",2,1,1,2,1
"280",1,2,81281,2,1,1,"Admclerical",1,1,1,2,1
"281",3,1,340148,2,1,1,"Admclerical",2,1,1,2,1
"282",2,2,363425,3,2,1,"Profspecialty",1,1,1,2,1
"283",3,2,45857,2,2,1,"Admclerical",2,1,1,1,1
"284",3,2,116632,2,1,1,"Profspecialty",1,1,1,2,2
"285",1,2,298227,2,2,1,"Sales",1,1,1,1,1
"286",1,2,146538,2,1,1,"Machineopinspct",1,1,1,2,1
"287",3,2,197332,2,1,1,"Craftrepair",1,1,1,3,2
"288",4,2,245062,2,1,1,"Craftrepair",1,1,1,2,2
"289",3,2,234885,2,1,1,"Sales",2,1,1,2,2
"290",2,2,180374,2,1,1,"Execmanagerial",2,1,1,2,1
"291",1,2,54012,2,1,1,"Transportmoving",1,1,1,4,1
"292",3,2,116632,3,2,1,"Farmingfishing",1,1,1,2,1
"293",2,2,132601,3,1,1,"Profspecialty",1,1,1,3,1
"294",4,2,193374,1,1,2,"Craftrepair",1,1,1,2,1
"295",1,2,170070,3,2,1,"Techsupport",2,1,1,1,1
"296",2,2,126708,2,1,1,"Admclerical",2,1,1,4,1
"297",4,2,35598,2,2,1,"Transportmoving",1,1,1,2,1
"298",3,2,33983,2,1,1,"Transportmoving",1,1,1,2,1
"299",4,2,192776,4,1,1,"Execmanagerial",1,1,4,3,2
"300",2,2,118551,3,1,1,"Techsupport",2,1,1,1,2
"301",4,2,201965,2,2,1,"Profspecialty",1,1,1,2,2
"302",2,2,285020,2,2,1,"Craftrepair",1,1,1,2,1
"303",2,2,303990,2,2,1,"Transportmoving",1,1,1,4,1
"304",3,2,279196,3,2,1,"Craftrepair",2,1,1,2,1
"305",1,2,281432,2,2,1,"Handlerscleaners",1,1,1,1,1
"306",3,2,170721,2,1,1,"Craftrepair",1,1,1,1,1
"307",1,1,70100,3,2,1,"Profspecialty",1,1,1,1,1
"308",3,2,193626,2,1,2,"Craftrepair",2,1,1,2,1
"309",4,1,286967,2,1,1,"Transportmoving",1,1,1,3,1
"310",3,1,164427,3,2,1,"Profspecialty",2,1,1,2,1
"311",3,2,91039,3,1,1,"Sales",1,5,1,4,2
"312",3,1,371373,2,2,1,"Admclerical",1,1,1,2,1
"313",2,2,32220,3,2,1,"Execmanagerial",2,1,1,4,1
"314",2,2,187251,2,2,1,"Profspecialty",2,1,1,1,1
"315",2,2,178107,3,2,1,"Craftrepair",1,1,1,1,1
"316",3,2,343121,2,2,1,"Admclerical",2,1,1,1,1
"317",1,2,262749,2,2,1,"Machineopinspct",1,1,1,2,1
"318",1,2,64293,2,2,1,"Profspecialty",2,1,1,1,1
"319",4,1,114060,2,1,1,"Transportmoving",1,1,1,2,1
"320",4,2,48925,2,1,1,"Admclerical",1,1,1,2,1
"321",1,2,181054,3,2,1,"Sales",2,1,1,2,1
"322",1,2,249609,2,2,1,"Protectiveserv",1,1,1,1,1
"323",3,2,112131,2,1,1,"Execmanagerial",1,1,1,2,1
"324",4,2,141944,3,1,2,"Handlerscleaners",1,1,2,2,1
"325",2,2,37070,3,2,1,"Craftrepair",1,1,1,3,1
"326",2,2,337587,2,1,1,"Profspecialty",1,1,1,3,2
"327",1,2,189346,2,2,1,"Craftrepair",1,1,1,3,1
"328",2,2,108116,3,1,1,"Profspecialty",1,1,1,3,2
"329",3,2,99146,3,1,1,"Execmanagerial",1,5,1,5,2
"330",4,2,196232,2,1,1,"Execmanagerial",1,4,1,3,2
"331",2,1,186035,2,1,1,"Techsupport",1,1,1,3,2
"332",3,2,177905,2,2,1,"Machineopinspct",1,1,1,3,2
"333",1,2,85812,2,1,1,"Sales",2,1,1,2,1
"334",3,2,221172,3,1,1,"Execmanagerial",1,1,1,2,2
"335",4,2,99183,2,2,1,"Admclerical",2,1,1,1,1
"336",3,2,190387,2,1,1,"Craftrepair",1,1,1,3,1
"337",3,2,202692,4,1,1,"Profspecialty",1,1,1,2,1
"338",1,2,108658,2,2,1,"Machineopinspct",1,1,1,2,1
"339",3,2,101739,3,1,1,"Execmanagerial",2,1,1,3,2
"340",4,2,231559,4,1,1,"Profspecialty",1,5,1,3,2
"341",3,1,207853,1,1,1,"Techsupport",1,1,1,3,1
"342",2,2,102345,3,2,1,"Craftrepair",1,1,1,2,1
"343",2,2,41493,3,2,1,"Farmingfishing",2,1,1,3,1
"344",3,2,210525,2,1,1,"Transportmoving",1,1,1,2,1
"345",2,2,133937,4,2,1,"Profspecialty",1,1,1,2,1
"346",2,2,237903,2,2,1,"Handlerscleaners",2,1,1,2,1
"347",1,2,163862,2,2,1,"Transportmoving",1,1,1,2,1
"348",1,2,201872,2,1,1,"Sales",1,1,1,3,1
"349",2,2,84179,2,2,1,"Handlerscleaners",2,1,1,3,1
"350",2,1,233327,2,1,1,"Protectiveserv",1,1,1,2,1
"351",1,2,259510,2,2,1,"Handlerscleaners",1,1,1,1,1
"352",1,2,184831,2,2,1,"Craftrepair",1,1,1,2,1
"353",3,2,245724,2,2,1,"Execmanagerial",1,1,1,3,1
"354",4,2,205343,1,2,1,"Admclerical",2,1,1,2,1
"355",4,2,136218,1,2,1,"Machineopinspct",2,1,1,2,1
"356",2,2,54576,2,1,1,"Machineopinspct",1,1,1,2,1
"357",2,2,148291,2,1,1,"Techsupport",2,1,1,1,1
"358",1,2,114053,3,2,1,"Transportmoving",1,1,1,3,1
"359",4,2,212960,3,1,1,"Sales",1,1,1,1,2
"360",3,2,264052,2,1,1,"Profspecialty",1,1,1,3,2
"361",4,2,334273,3,1,1,"Profspecialty",1,1,1,4,2
"362",3,2,188436,4,1,1,"Execmanagerial",1,3,1,3,1
"363",2,2,110663,2,2,1,"Craftrepair",1,1,1,1,1
"364",3,2,87490,4,2,1,"Execmanagerial",1,1,1,2,1
"365",1,2,354351,2,2,1,"Craftrepair",1,1,1,2,1
"366",4,2,95469,2,1,1,"Profspecialty",1,1,1,2,1
"367",1,2,242718,1,2,1,"Sales",1,1,1,1,1
"368",2,2,22463,3,1,1,"Craftrepair",1,1,4,2,2
"369",1,2,158156,4,2,1,"Profspecialty",2,1,1,4,1
"370",2,2,350162,3,1,1,"Execmanagerial",1,1,1,2,2
"371",2,2,28738,3,2,1,"Sales",2,1,1,1,1
"372",4,1,283635,3,2,1,"Profspecialty",2,1,1,2,1
"373",1,2,86646,2,1,1,"Craftrepair",1,1,1,3,1
"374",4,2,69884,2,1,1,"Sales",1,1,1,2,2
"375",4,2,199713,2,1,1,"Craftrepair",1,1,1,2,1
"376",1,2,181659,2,1,1,"Machineopinspct",1,1,1,2,1
"377",2,2,340939,3,2,1,"Techsupport",1,1,1,2,1
"378",1,2,197747,2,2,1,"Sales",2,1,1,1,1
"379",2,2,34292,2,2,1,"Admclerical",1,1,1,4,1
"380",4,2,25826,1,1,1,"Craftrepair",1,1,3,3,2
"381",4,2,103948,3,2,1,"Profspecialty",1,1,1,5,1
"382",4,2,39352,1,2,1,"Transportmoving",1,1,1,3,2
"383",1,2,117789,3,2,1,"Admclerical",2,1,1,2,1
"384",1,2,267147,2,2,1,"Sales",1,1,1,2,1
"385",3,2,214242,4,1,1,"Profspecialty",1,1,4,3,2
"386",1,2,200408,2,2,1,"Techsupport",1,2,1,2,1
"387",4,2,136455,3,2,1,"Profspecialty",2,1,1,3,1
"388",2,2,239824,3,2,1,"Techsupport",1,1,1,2,1
"389",1,2,217039,2,2,1,"Admclerical",1,1,1,1,1
"390",2,2,194404,3,2,1,"Farmingfishing",1,1,1,2,1
"391",4,2,410114,4,1,1,"Craftrepair",1,1,1,2,2
"392",4,2,200853,4,2,1,"Profspecialty",2,3,1,4,1
"393",1,2,247564,2,2,1,"Craftrepair",1,1,1,2,1
"394",1,2,249909,2,1,1,"Handlerscleaners",1,1,1,3,1
"395",1,1,208122,3,2,1,"Profspecialty",1,2,1,2,1
"396",3,2,207824,2,2,1,"Handlerscleaners",1,1,1,4,1
"397",4,2,114117,2,1,1,"Execmanagerial",1,1,1,1,1
"398",4,2,51048,3,1,1,"Sales",1,1,1,3,1
"399",3,2,102388,4,1,1,"Profspecialty",1,5,1,3,2
"400",1,2,190483,3,2,1,"Sales",2,1,1,1,1
"401",2,2,34383,3,1,1,"Transportmoving",1,1,1,3,1
"402",2,2,153614,2,1,1,"Sales",1,1,1,3,2
"403",3,2,267556,2,1,1,"Sales",1,1,1,4,1
"404",2,2,205469,2,1,1,"Execmanagerial",1,1,1,2,2
"405",4,2,268090,3,1,1,"Sales",1,1,1,1,2
"406",3,2,154374,2,1,1,"Craftrepair",1,5,1,4,2
"407",4,2,35723,2,1,1,"Craftrepair",1,1,1,4,1
"408",1,2,226181,3,2,1,"Handlerscleaners",1,1,1,2,1
"409",2,2,175697,3,1,1,"Execmanagerial",1,5,1,4,2
"410",4,2,289436,4,1,1,"Profspecialty",1,1,1,4,2
"411",1,2,75654,2,2,1,"Craftrepair",1,1,1,3,1
