age,emptype,fnlwgt,educ,marital,attached,occupation,sex,capitalgain,capitalloss,hrperweek,income
Elder,Self,120985,HighSchool,Couple,No,Craftrepair,M,M,VL,VL,Low
Young,Self,254202,Bachelors,Couple,No,Sales,M,VL,VL,M,Low
Elder,Self,56920,HighSchool,Couple,No,Craftrepair,M,VL,VL,H,Low
Youngest,Self,163127,Bachelors,Couple,No,Admclerical,F,VL,VL,VL,Low
Youngest,Self,34310,HighSchool,Single,No,Sales,M,VL,VL,VL,Low
Eldest,Self,66614,HighSchool,Couple,No,Craftrepair,M,VL,VL,L,Low
Youngest,Self,232782,HighSchool,Single,No,Sales,F,VL,VL,L,Low
Elder,Self,196584,Bachelors,Single,No,Profspecialty,F,VL,L,L,High
Eldest,Self,181232,Dropout,Couple,No,Craftrepair,M,VL,VH,L,Low
Young,Self,198183,HighSchool,Single,No,Admclerical,F,VL,VL,L,Low
Youngest,Self,296158,HighSchool,Single,No,Craftrepair,M,VL,VL,VL,Low
Eldest,Self,187715,HighSchool,Couple,No,Craftrepair,M,VL,VL,M,Low
Youngest,Self,214542,Bachelors,Single,No,Handlerscleaners,M,VL,VL,L,Low
Young,Self,191535,HighSchool,Single,No,Craftrepair,M,VL,VL,H,Low
Elder,Self,201080,Master,Couple,No,Sales,M,VL,VL,L,High
Elder,Gov,235485,Bachelors,Single,No,Execmanagerial,M,VL,VL,L,Low
Elder,Gov,102628,Master,Single,No,Protectiveserv,M,VL,VL,L,Low
Youngest,Self,25828,Dropout,Single,No,Handlerscleaners,M,VL,VL,VL,Low
Eldest,Gov,54826,Bachelors,Single,No,Profspecialty,F,VL,VL,VL,Low
Youngest,Gov,175325,HighSchool,Couple,No,Protectiveserv,M,VL,VL,L,Low
Eldest,Self,96062,HighSchool,Couple,No,Sales,M,VL,H,L,High
Youngest,Self,428030,Bachelors,Single,No,Craftrepair,M,VL,VL,M,Low
Youngest,Gov,149624,Bachelors,Couple,No,Profspecialty,M,VL,VL,L,High
Youngest,Self,253814,HighSchool,Couple,Yes,Sales,F,VL,VL,VL,Low
Young,Self,37274,Bachelors,Couple,No,Profspecialty,M,VL,VL,H,Low
Elder,Self,114580,HighSchool,Single,No,Admclerical,F,VL,VL,L,Low
Young,Gov,29054,HighSchool,Couple,No,Admclerical,M,VL,VL,L,High
Elder,Self,143129,Bachelors,Single,No,Execmanagerial,F,VL,VL,L,Low
Young,Self,99928,Master,Couple,No,Profspecialty,F,VL,VL,M,Low
Eldest,Gov,109567,Master,Couple,No,Profspecialty,M,VL,VL,VL,High
Youngest,Self,159567,HighSchool,Couple,No,Machineopinspct,M,VL,VL,L,Low
Elder,Self,120939,HighSchool,Couple,No,Techsupport,M,VL,VL,M,Low
Elder,Gov,130760,Bachelors,Couple,No,Techsupport,M,VL,VL,VL,Low
Young,Self,99374,HighSchool,Single,No,Craftrepair,M,VL,VL,L,Low
Elder,Gov,56795,Master,Single,No,Execmanagerial,F,H,VL,M,High
Youngest,Self,32921,HighSchool,Single,No,Sales,M,VL,VL,L,Low
Youngest,Self,397317,Master,Single,No,Profspecialty,F,VL,M,L,Low
Eldest,Self,259323,Bachelors,Couple,No,Execmanagerial,M,VL,VL,M,High
Elder,Gov,254817,HighSchool,Single,No,Profspecialty,F,VL,L,L,Low
Young,Gov,48211,HighSchool,Single,No,Admclerical,F,VL,VL,VL,Low
Youngest,Self,140164,Dropout,Single,No,Sales,F,VL,VL,L,Low
Young,Self,36270,HighSchool,Single,No,Craftrepair,M,VL,VL,H,Low
Eldest,Self,210563,HighSchool,Couple,No,Sales,F,VH,VL,VL,High
Youngest,Self,65368,Dropout,Single,No,Sales,F,VL,VL,VL,Low
Young,Self,208358,HighSchool,Couple,No,Craftrepair,M,VL,VL,L,High
Eldest,Self,125417,Dropout,Couple,No,Machineopinspct,M,VL,VL,L,High
Eldest,Self,313321,Bachelors,Single,No,Sales,F,VL,VL,L,Low
Elder,Self,109434,Bachelors,Couple,No,Profspecialty,M,VL,VL,M,Low
Youngest,Self,255004,Dropout,Single,No,Craftrepair,M,VL,VL,L,Low
Young,Self,197860,HighSchool,Couple,No,Handlerscleaners,M,VL,VL,L,Low
Eldest,Gov,140359,Dropout,Single,No,Machineopinspct,F,VL,VL,VL,Low
Youngest,Self,243313,HighSchool,Single,No,Sales,F,VL,VL,L,Low
Eldest,Self,167687,HighSchool,Couple,No,Farmingfishing,M,L,VL,M,Low
Eldest,Self,176796,HighSchool,Single,No,Admclerical,F,VL,VL,L,Low
Youngest,Self,159732,HighSchool,Single,No,Admclerical,M,VL,VL,L,Low
Youngest,Self,76714,Master,Single,No,Profspecialty,M,VL,VL,M,High
Elder,Gov,170525,HighSchool,Single,No,Admclerical,F,VL,VL,VL,Low
Elder,Gov,115076,Master,Couple,No,Execmanagerial,M,VL,VL,H,High
Youngest,Self,115458,HighSchool,Single,No,Transportmoving,M,VL,VL,L,Low
Elder,Self,347890,Bachelors,Couple,No,Profspecialty,M,VL,VL,L,High
Youngest,Gov,273905,Bachelors,Couple,No,Protectiveserv,M,VL,VL,M,Low
Elder,Self,179488,HighSchool,Single,No,Craftrepair,M,VL,M,L,Low
Eldest,Self,236596,HighSchool,Couple,No,Admclerical,M,VL,VL,M,High
Elder,Self,207578,Bachelors,Couple,No,Techsupport,M,VL,H,H,High
Elder,Self,112763,Master,Couple,No,Profspecialty,F,VL,VL,L,High
Youngest,Gov,27382,HighSchool,Single,No,Admclerical,M,VL,VL,L,Low
Eldest,Self,259014,HighSchool,Single,No,Transportmoving,M,VL,VL,VL,Low
Elder,Self,187666,Bachelors,Single,No,Execmanagerial,F,VL,VL,M,Low
Eldest,Self,204518,Dropout,Single,No,Craftrepair,M,VL,VL,L,Low
Young,Self,150042,Bachelors,Single,No,Profspecialty,F,VL,VL,L,Low
Elder,Self,98092,HighSchool,Couple,No,Sales,M,VL,VL,H,Low
Eldest,Self,146013,HighSchool,Couple,No,Sales,M,M,VL,L,Low
Youngest,Self,378322,Dropout,Couple,No,Craftrepair,M,VL,VL,L,Low
Eldest,Self,21174,HighSchool,Couple,No,Execmanagerial,M,VL,VL,L,High
Young,Self,185480,Bachelors,Single,No,Profspecialty,F,VL,VL,M,Low
Young,Self,222205,HighSchool,Couple,No,Craftrepair,F,VL,VL,L,High
Eldest,Self,69867,HighSchool,Couple,No,Execmanagerial,M,VL,VL,L,High
Eldest,Self,30653,Master,Couple,No,Farmingfishing,M,L,VL,VH,Low
Youngest,Gov,209109,Master,Single,No,Profspecialty,M,VL,VL,VL,Low
Young,Self,70377,HighSchool,Single,No,Profspecialty,F,VL,VL,L,Low
Elder,Self,170924,HighSchool,Couple,No,Craftrepair,M,M,VL,L,High
Young,Self,190174,HighSchool,Single,No,Execmanagerial,F,VL,VL,L,Low
Youngest,Self,193787,HighSchool,Single,No,Techsupport,F,VL,VL,L,Low
Youngest,Self,279472,HighSchool,Couple,No,Machineopinspct,F,M,VL,M,High
Elder,Gov,97688,HighSchool,Couple,No,Craftrepair,M,M,VL,L,High
Eldest,Self,173960,Bachelors,Single,No,Profspecialty,F,VL,VL,L,Low
Youngest,Self,205759,HighSchool,Single,No,Handlerscleaners,M,VL,VL,L,Low
Eldest,Gov,425161,Master,Couple,No,Sales,M,VH,VL,L,High
Elder,Self,220531,Master,Couple,No,Profspecialty,M,VL,VL,H,High
Youngest,Self,371987,Bachelors,Single,No,Execmanagerial,F,VL,VL,L,Low
Young,Self,200352,Bachelors,Couple,No,Profspecialty,M,VL,VL,M,Low
Young,Self,127595,HighSchool,Single,No,Profspecialty,F,VL,VL,L,Low
Young,Gov,220419,Bachelors,Single,No,Protectiveserv,M,VL,VL,M,Low
Youngest,Self,231931,HighSchool,Single,No,Sales,M,VL,VL,M,Low
Eldest,Self,111095,HighSchool,Couple,No,Transportmoving,M,VL,VL,VL,Low
Young,Self,57424,Bachelors,Single,No,Sales,F,VL,VL,H,Low
Youngest,Self,278130,HighSchool,Single,No,Craftrepair,M,VL,VL,L,Low
Elder,Self,169469,HighSchool,Single,No,Sales,M,VL,VL,VH,Low
Eldest,Self,146268,Bachelors,Couple,No,Admclerical,M,H,VL,L,High
Young,Self,217460,HighSchool,Couple,No,Transportmoving,M,VL,VL,M,High
Eldest,Self,238638,HighSchool,Couple,No,Sales,M,M,VL,L,High
Elder,Self,173321,HighSchool,Single,No,Admclerical,F,VL,VL,L,Low
Youngest,Self,193945,Bachelors,Single,No,Techsupport,M,VL,VL,M,Low
Elder,Self,83082,Bachelors,Single,No,Profspecialty,F,VL,VL,VL,Low
Young,Self,193815,Bachelors,Couple,No,Admclerical,M,VL,VL,L,High
Elder,Self,34987,HighSchool,Couple,No,Farmingfishing,M,VL,VL,M,High
Youngest,Self,59306,Bachelors,Single,No,Sales,M,VL,VL,L,Low
Youngest,Self,199698,HighSchool,Single,No,Sales,M,VL,VL,VL,Low
Youngest,Self,191954,HighSchool,Single,No,Machineopinspct,M,VL,VL,L,Low
Eldest,Self,138714,HighSchool,Couple,No,Sales,M,VL,VL,L,Low
Young,Self,423158,HighSchool,Single,No,Techsupport,F,VL,VL,L,Low
Elder,Self,174308,HighSchool,Couple,No,Execmanagerial,M,VL,VL,L,Low
Elder,Self,50356,HighSchool,Couple,No,Craftrepair,M,VL,L,M,Low
Young,Self,186110,HighSchool,Single,No,Transportmoving,M,VL,VL,M,Low
Young,Self,200381,Dropout,Single,No,Execmanagerial,F,VL,VL,L,Low
Eldest,Self,174309,Master,Couple,No,Craftrepair,M,VL,VL,VL,Low
Eldest,Self,78383,HighSchool,Couple,No,Farmingfishing,M,VL,VL,M,Low
Elder,Self,187728,HighSchool,Couple,No,Profspecialty,F,VL,M,M,High
Eldest,Self,321171,HighSchool,Couple,No,Handlerscleaners,M,VL,VL,L,Low
Eldest,Self,127921,HighSchool,Single,No,Transportmoving,M,L,VL,M,Low
Youngest,Self,224563,Bachelors,Single,No,Admclerical,M,VL,VL,L,Low
Eldest,Gov,98545,Dropout,Couple,No,Admclerical,M,VL,VL,L,Low
Eldest,Self,242606,HighSchool,Couple,No,Transportmoving,M,VL,VL,L,Low
Eldest,Self,71195,Master,Single,No,Profspecialty,M,VL,VL,H,Low
Youngest,Self,94936,Bachelors,Single,No,Sales,M,VL,VL,L,Low
Elder,Self,296478,Bachelors,Couple,No,Craftrepair,M,M,VL,L,High
Young,Gov,119272,HighSchool,Couple,No,Protectiveserv,M,M,VL,L,High
Young,Self,85043,HighSchool,Single,No,Farmingfishing,M,VL,VL,VL,Low
Elder,Self,241895,Bachelors,Single,No,Sales,M,VL,VL,L,Low
Young,Self,156464,Bachelors,Single,No,Profspecialty,M,VL,VL,VL,Low
Young,Self,117963,Bachelors,Couple,No,Execmanagerial,M,VL,VL,L,High
Young,Self,111363,Bachelors,Couple,No,Execmanagerial,M,VL,VL,L,High
Elder,Gov,329752,Dropout,Couple,No,Transportmoving,M,VL,VL,VL,Low
Elder,Gov,95432,HighSchool,Couple,No,Admclerical,M,VL,VL,L,High
Elder,Self,96129,Bachelors,Couple,No,Techsupport,M,VL,VL,L,High
Elder,Self,111949,HighSchool,Couple,No,Admclerical,F,VL,VL,VL,Low
Eldest,Self,270092,Master,Couple,No,Profspecialty,M,VL,VL,L,High
Elder,Self,180609,Bachelors,Couple,No,Transportmoving,M,VL,VL,M,Low
Elder,Self,174575,Bachelors,Single,No,Execmanagerial,M,VL,L,M,High
Youngest,Self,410439,HighSchool,Couple,Yes,Sales,M,VL,VL,M,Low
Youngest,Self,92262,HighSchool,Couple,No,Craftrepair,M,VL,VL,L,Low
Eldest,Self,183081,HighSchool,Couple,No,Sales,M,VL,VL,M,Low
Youngest,Self,362589,Bachelors,Single,No,Sales,F,VL,VL,VL,Low
Eldest,Self,212448,Bachelors,Single,No,Execmanagerial,F,VL,VL,M,High
Elder,Self,481060,HighSchool,Single,No,Sales,F,VL,VL,L,Low
Youngest,Gov,185885,HighSchool,Single,No,Admclerical,F,VL,VL,VL,Low
Elder,Gov,184018,Bachelors,Couple,No,Machineopinspct,M,VL,VL,VL,High
Youngest,Gov,350845,HighSchool,Single,No,Admclerical,F,VL,VL,VL,Low
Young,Self,267404,HighSchool,Couple,No,Craftrepair,F,VL,VL,L,Low
Youngest,Self,35633,HighSchool,Single,No,Sales,M,VL,VL,L,Low
Elder,Self,80914,Master,Single,No,Execmanagerial,M,VL,VL,VL,Low
Elder,Self,172927,HighSchool,Couple,No,Sales,M,VL,VL,M,Low
Eldest,Self,174319,HighSchool,Single,No,Transportmoving,M,VL,VL,L,Low
Elder,Self,214955,Dropout,Single,No,Craftrepair,F,VL,VH,M,Low
Youngest,Self,344991,HighSchool,Couple,No,Craftrepair,M,VL,VL,L,Low
Elder,Self,108699,HighSchool,Single,No,Sales,F,VL,VL,L,Low
Young,Gov,117312,HighSchool,Couple,No,Transportmoving,F,VL,VL,L,Low
Young,Self,134152,HighSchool,Single,No,Machineopinspct,M,VL,VL,L,Low
Elder,Self,162028,HighSchool,Couple,No,Admclerical,F,VL,VH,VL,High
Youngest,Self,25429,HighSchool,Single,No,Admclerical,F,VL,VL,VL,Low
Youngest,Self,301302,Bachelors,Single,No,Craftrepair,M,VL,VL,M,Low
Elder,Self,277946,Bachelors,Single,No,Craftrepair,M,VL,VL,L,Low
Elder,Self,115562,HighSchool,Couple,No,Techsupport,M,VL,VL,L,Low
Elder,Self,96975,HighSchool,Single,No,Handlerscleaners,F,VL,VL,L,Low
Youngest,Self,86872,Bachelors,Couple,No,Execmanagerial,M,VL,VL,M,High
Eldest,Self,132178,Bachelors,Couple,No,Execmanagerial,M,VL,VL,M,High
Youngest,Self,416103,HighSchool,Single,No,Handlerscleaners,M,VL,VL,L,Low
Eldest,Gov,288353,Bachelors,Couple,No,Protectiveserv,M,VL,VL,L,High
Young,Self,227689,Bachelors,Single,No,Techsupport,F,VL,VL,H,Low
Elder,Self,445382,Master,Couple,No,Execmanagerial,M,VL,H,H,High
Youngest,Self,110145,HighSchool,Couple,No,Admclerical,M,VL,VL,L,Low
Elder,Self,317253,HighSchool,Couple,No,Craftrepair,M,VL,VL,VL,Low
Young,Self,364657,HighSchool,Couple,No,Execmanagerial,M,VL,VL,M,Low
Young,Self,118500,HighSchool,Single,No,Execmanagerial,F,VL,VL,L,Low
Elder,Self,188386,Master,Couple,No,Execmanagerial,M,VH,VL,H,High
Young,Gov,1033222,HighSchool,Couple,No,Machineopinspct,M,VL,VL,L,Low
Young,Self,92440,Dropout,Single,No,Craftrepair,M,VL,VL,M,High
Young,Gov,240283,HighSchool,Single,No,Transportmoving,F,VL,VL,L,Low
Youngest,Self,61777,HighSchool,Couple,No,Sales,M,VL,VL,VL,Low
Youngest,Self,175024,Dropout,Single,No,Handlerscleaners,M,L,VL,VL,Low
Young,Gov,92003,Bachelors,Couple,No,Execmanagerial,F,VL,VL,L,High
Young,Self,188401,HighSchool,Single,No,Farmingfishing,M,VL,VL,L,Low
Young,Self,228528,Dropout,Single,No,Craftrepair,F,VL,VL,VL,Low
Youngest,Self,133373,HighSchool,Couple,No,Transportmoving,M,VL,VL,H,Low
Young,Gov,255191,Master,Single,No,Profspecialty,M,VL,L,L,Low
Eldest,Self,222289,HighSchool,Couple,No,Execmanagerial,M,VL,VL,L,High
Elder,Gov,287480,Master,Couple,No,Profspecialty,M,VL,VL,L,Low
Elder,Self,204116,Bachelors,Couple,Yes,Profspecialty,F,L,VL,L,Low
Young,Self,208405,Master,Couple,No,Profspecialty,M,VL,VL,M,High
Young,Gov,117018,HighSchool,Single,No,Protectiveserv,F,VL,VL,L,Low
Youngest,Self,81281,HighSchool,Couple,No,Admclerical,M,VL,VL,L,Low
Elder,Gov,340148,HighSchool,Couple,No,Admclerical,F,VL,VL,L,Low
Young,Self,363425,Bachelors,Single,No,Profspecialty,M,VL,VL,L,Low
Elder,Self,45857,HighSchool,Single,No,Admclerical,F,VL,VL,VL,Low
Elder,Self,116632,HighSchool,Couple,No,Profspecialty,M,VL,VL,L,High
Youngest,Self,298227,HighSchool,Single,No,Sales,M,VL,VL,VL,Low
Youngest,Self,146538,HighSchool,Couple,No,Machineopinspct,M,VL,VL,L,Low
Elder,Self,197332,HighSchool,Couple,No,Craftrepair,M,VL,VL,M,High
Eldest,Self,245062,HighSchool,Couple,No,Craftrepair,M,VL,VL,L,High
Elder,Self,234885,HighSchool,Couple,No,Sales,F,VL,VL,L,High
Young,Self,180374,HighSchool,Couple,No,Execmanagerial,F,VL,VL,L,Low
Youngest,Self,54012,HighSchool,Couple,No,Transportmoving,M,VL,VL,H,Low
Elder,Self,116632,Bachelors,Single,No,Farmingfishing,M,VL,VL,L,Low
Young,Self,132601,Bachelors,Couple,No,Profspecialty,M,VL,VL,M,Low
Eldest,Self,193374,Dropout,Couple,Yes,Craftrepair,M,VL,VL,L,Low
Youngest,Self,170070,Bachelors,Single,No,Techsupport,F,VL,VL,VL,Low
Young,Self,126708,HighSchool,Couple,No,Admclerical,F,VL,VL,H,Low
Eldest,Self,35598,HighSchool,Single,No,Transportmoving,M,VL,VL,L,Low
Elder,Self,33983,HighSchool,Couple,No,Transportmoving,M,VL,VL,L,Low
Eldest,Self,192776,Master,Couple,No,Execmanagerial,M,VL,H,M,High
Young,Self,118551,Bachelors,Couple,No,Techsupport,F,VL,VL,VL,High
Eldest,Self,201965,HighSchool,Single,No,Profspecialty,M,VL,VL,L,High
Young,Self,285020,HighSchool,Single,No,Craftrepair,M,VL,VL,L,Low
Young,Self,303990,HighSchool,Single,No,Transportmoving,M,VL,VL,H,Low
Elder,Self,279196,Bachelors,Single,No,Craftrepair,F,VL,VL,L,Low
Youngest,Self,281432,HighSchool,Single,No,Handlerscleaners,M,VL,VL,VL,Low
Elder,Self,170721,HighSchool,Couple,No,Craftrepair,M,VL,VL,VL,Low
Youngest,Gov,70100,Bachelors,Single,No,Profspecialty,M,VL,VL,VL,Low
Elder,Self,193626,HighSchool,Couple,Yes,Craftrepair,F,VL,VL,L,Low
Eldest,Gov,286967,HighSchool,Couple,No,Transportmoving,M,VL,VL,M,Low
Elder,Gov,164427,Bachelors,Single,No,Profspecialty,F,VL,VL,L,Low
Elder,Self,91039,Bachelors,Couple,No,Sales,M,VH,VL,H,High
Elder,Gov,371373,HighSchool,Single,No,Admclerical,M,VL,VL,L,Low
Young,Self,32220,Bachelors,Single,No,Execmanagerial,F,VL,VL,H,Low
Young,Self,187251,HighSchool,Single,No,Profspecialty,F,VL,VL,VL,Low
Young,Self,178107,Bachelors,Single,No,Craftrepair,M,VL,VL,VL,Low
Elder,Self,343121,HighSchool,Single,No,Admclerical,F,VL,VL,VL,Low
Youngest,Self,262749,HighSchool,Single,No,Machineopinspct,M,VL,VL,L,Low
Youngest,Self,64293,HighSchool,Single,No,Profspecialty,F,VL,VL,VL,Low
Eldest,Gov,114060,HighSchool,Couple,No,Transportmoving,M,VL,VL,L,Low
Eldest,Self,48925,HighSchool,Couple,No,Admclerical,M,VL,VL,L,Low
Youngest,Self,181054,Bachelors,Single,No,Sales,F,VL,VL,L,Low
Youngest,Self,249609,HighSchool,Single,No,Protectiveserv,M,VL,VL,VL,Low
Elder,Self,112131,HighSchool,Couple,No,Execmanagerial,M,VL,VL,L,Low
Eldest,Self,141944,Bachelors,Couple,Yes,Handlerscleaners,M,VL,L,L,Low
Young,Self,37070,Bachelors,Single,No,Craftrepair,M,VL,VL,M,Low
Young,Self,337587,HighSchool,Couple,No,Profspecialty,M,VL,VL,M,High
Youngest,Self,189346,HighSchool,Single,No,Craftrepair,M,VL,VL,M,Low
Young,Self,108116,Bachelors,Couple,No,Profspecialty,M,VL,VL,M,High
Elder,Self,99146,Bachelors,Couple,No,Execmanagerial,M,VH,VL,VH,High
Eldest,Self,196232,HighSchool,Couple,No,Execmanagerial,M,H,VL,M,High
Young,Gov,186035,HighSchool,Couple,No,Techsupport,M,VL,VL,M,High
Elder,Self,177905,HighSchool,Single,No,Machineopinspct,M,VL,VL,M,High
Youngest,Self,85812,HighSchool,Couple,No,Sales,F,VL,VL,L,Low
Elder,Self,221172,Bachelors,Couple,No,Execmanagerial,M,VL,VL,L,High
Eldest,Self,99183,HighSchool,Single,No,Admclerical,F,VL,VL,VL,Low
Elder,Self,190387,HighSchool,Couple,No,Craftrepair,M,VL,VL,M,Low
Elder,Self,202692,Master,Couple,No,Profspecialty,M,VL,VL,L,Low
Youngest,Self,108658,HighSchool,Single,No,Machineopinspct,M,VL,VL,L,Low
